entryid,customerid
144.0,165652
1.0,166310
5.0,169500
144.0,167215
144.0,168334
144.0,168833
144.0,172236
5.0,170622
144.0,81958
5.0,171034
1.0,172130
144.0,103258
144.0,107963
144.0,93156
144.0,94956
144.0,114940
104.0,117636
144.0,113319
144.0,113216
144.0,167326
144.0,167393
144.0,169035
144.0,163578
144.0,166937
144.0,170503
144.0,170701
144.0,169821
144.0,169989
1.0,171400
144.0,83918
5.0,171036
1.0,84077
1.0,171204
5.0,94720
5.0,99557
144.0,116597
5.0,86916
5.0,160868
144.0,161355
5.0,161900
144.0,116616
5.0,166431
144.0,166490
144.0,166491
144.0,165354
5.0,166877
5.0,167080
144.0,167395
5.0,166613
144.0,168774
144.0,168896
144.0,168895
5.0,168636
1.0,170069
5.0,170205
1.0,171410
1.0,172466
144.0,71047
1.0,79541
144.0,80520
144.0,98218
5.0,98636
144.0,107918
144.0,166747
144.0,163958
144.0,165738
5.0,165967
5.0,168183
144.0,167389
144.0,167471
144.0,168088
104.0,90577
144.0,169904
5.0,171071
144.0,36396
5.0,161154
1.0,92856
144.0,161379
104.0,98337
144.0,107520
144.0,168283
144.0,168794
5.0,161579
144.0,161873
144.0,169142
5.0,169503
104.0,168971
104.0,168989
